eid,class,part,deck,volume_m3
TS-R10-5a,temp_support,P09,R,0.0392
S-P09-R1,seat,P09,R,0.0960
B-P09-R1,bearing,P09,R,0.0235
S-P09-R2,seat,P09,R,0.0962
B-P09-R2,bearing,P09,R,0.0235
S-P09-R3,seat,P09,R,0.0963
B-P09-R3,bearing,P09,R,0.0235
S-P09-R4,seat,P09,R,0.0965
B-P09-R4,bearing,P09,R,0.0235
S-P09-R5,seat,P09,R,0.0967
B-P09-R5,bearing,P09,R,0.0235
C-P09-R1,column,P09,R,14.0949
PL-P09-R1,pile,P09,R,63.5544
C-P09-R2,column,P09,R,13.9412
PL-P09-R2,pile,P09,R,63.5544
TB-P09-R,tie,P09,R,5.1600
CAP-P10-L,cap,P10,L,46.8480
TS-L10-1b,temp_support,P10,L,0.0412
TS-L10-2b,temp_support,P10,L,0.0411
TS-L10-3b,temp_support,P10,L,0.0412
TS-L10-4b,temp_support,P10,L,0.0411
TS-L10-5b,temp_support,P10,L,0.0410
TS-L11-1a,temp_support,P10,L,0.0384
TS-L11-2a,temp_support,P10,L,0.0385
TS-L11-3a,temp_support,P10,L,0.0386
TS-L11-4a,temp_support,P10,L,0.0384
TS-L11-5a,temp_support,P10,L,0.0385
S-P10-L1,seat,P10,L,0.0960
B-P10-L1,bearing,P10,L,0.0235
S-P10-L2,seat,P10,L,0.0960
B-P10-L2,bearing,P10,L,0.0235
S-P10-L3,seat,P10,L,0.0960
B-P10-L3,bearing,P10,L,0.0235
S-P10-L4,seat,P10,L,0.0960
B-P10-L4,bearing,P10,L,0.0235
S-P10-L5,seat,P10,L,0.0960
B-P10-L5,bearing,P10,L,0.0235
C-P10-L1,column,P10,L,8.9396
PL-P10-L1,pile,P10,L,63.5544
C-P10-L2,column,P10,L,8.7858
PL-P10-L2,pile,P10,L,63.5544
TB-P10-L,tie,P10,L,5.1600
CAP-P10-R,cap,P10,R,46.8480
TS-R10-1b,temp_support,P10,R,0.0413
TS-R10-2b,temp_support,P10,R,0.0414
TS-R10-3b,temp_support,P10,R,0.0411
TS-R10-4b,temp_support,P10,R,0.0409
TS-R10-5b,temp_support,P10,R,0.0409
TS-R11-1a,temp_support,P10,R,0.0381
TS-R11-2a,temp_support,P10,R,0.0383
TS-R11-3a,temp_support,P10,R,0.0386
TS-R11-4a,temp_support,P10,R,0.0388
TS-R11-5a,temp_support,P10,R,0.0387
S-P10-R1,seat,P10,R,0.0960
B-P10-R1,bearing,P10,R,0.0235
S-P10-R2,seat,P10,R,0.0960
B-P10-R2,bearing,P10,R,0.0235
S-P10-R3,seat,P10,R,0.0960
B-P10-R3,bearing,P10,R,0.0235
S-P10-R4,seat,P10,R,0.0961
B-P10-R4,bearing,P10,R,0.0235
S-P10-R5,seat,P10,R,0.0960
B-P10-R5,bearing,P10,R,0.0235
C-P10-R1,column,P10,R,9.3105
PL-P10-R1,pile,P10,R,63.5544
C-P10-R2,column,P10,R,9.1568
PL-P10-R2,pile,P10,R,63.5544
TB-P10-R,tie,P10,R,5.1600
CAP-P11-L,cap,P11,L,46.8480
TS-L11-1b,temp_support,P11,L,0.0415
TS-L11-2b,temp_support,P11,L,0.0413
TS-L11-3b,temp_support,P11,L,0.0412
TS-L11-4b,temp_support,P11,L,0.0414
TS-L11-5b,temp_support,P11,L,0.0413
TS-L12-1a,temp_support,P11,L,0.0382
TS-L12-2a,temp_support,P11,L,0.0383
TS-L12-3a,temp_support,P11,L,0.0384
TS-L12-4a,temp_support,P11,L,0.0385
TS-L12-5a,temp_support,P11,L,0.0383
S-P11-L1,seat,P11,L,0.0960
B-P11-L1,bearing,P11,L,0.0235
S-P11-L2,seat,P11,L,0.0960
B-P11-L2,bearing,P11,L,0.0235
S-P11-L3,seat,P11,L,0.0960
B-P11-L3,bearing,P11,L,0.0235
S-P11-L4,seat,P11,L,0.0960
B-P11-L4,bearing,P11,L,0.0235
S-P11-L5,seat,P11,L,0.0960
B-P11-L5,bearing,P11,L,0.0235
C-P11-L1,column,P11,L,4.9567
PL-P11-L1,pile,P11,L,63.5544
C-P11-L2,column,P11,L,4.8030
PL-P11-L2,pile,P11,L,63.5544
TB-P11-L,tie,P11,L,5.1600
CAP-P11-R,cap,P11,R,46.8480
TS-R11-1b,temp_support,P11,R,0.0417
TS-R11-2b,temp_support,P11,R,0.0415
TS-R11-3b,temp_support,P11,R,0.0412
TS-R11-4b,temp_support,P11,R,0.0410
TS-R11-5b,temp_support,P11,R,0.0411
TS-R12-1a,temp_support,P11,R,0.0379
TS-R12-2a,temp_support,P11,R,0.0381
TS-R12-3a,temp_support,P11,R,0.0384
TS-R12-4a,temp_support,P11,R,0.0386
TS-R12-5a,temp_support,P11,R,0.0388
S-P11-R1,seat,P11,R,0.0960
B-P11-R1,bearing,P11,R,0.0235
S-P11-R2,seat,P11,R,0.0960
B-P11-R2,bearing,P11,R,0.0235
S-P11-R3,seat,P11,R,0.0960
B-P11-R3,bearing,P11,R,0.0235
S-P11-R4,seat,P11,R,0.0960
B-P11-R4,bearing,P11,R,0.0235
S-P11-R5,seat,P11,R,0.0960
B-P11-R5,bearing,P11,R,0.0235
C-P11-R1,column,P11,R,5.3276
PL-P11-R1,pile,P11,R,63.5544
C-P11-R2,column,P11,R,5.1739
PL-P11-R2,pile,P11,R,63.5544
TB-P11-R,tie,P11,R,5.1600
ABC-A12-L,abut_cap,A12,L,27.8160
BW-A12-L,backwall,A12,L,14.7778
S-L12-1b,seat,A12,L,0.0542
B-L12-1b,bearing,A12,L,0.0074
S-L12-2b,seat,A12,L,0.0542
B-L12-2b,bearing,A12,L,0.0074
S-L12-3b,seat,A12,L,0.0541
B-L12-3b,bearing,A12,L,0.0074
S-L12-4b,seat,A12,L,0.0541
B-L12-4b,bearing,A12,L,0.0074
S-L12-5b,seat,A12,L,0.0540
B-L12-5b,bearing,A12,L,0.0074
PL-A12-L1,pile,A12,L,35.3429
PL-A12-L2,pile,A12,L,35.3429
ABC-A12-R,abut_cap,A12,R,27.8160
BW-A12-R,backwall,A12,R,14.7827
S-R12-1b,seat,A12,R,0.0547
B-R12-1b,bearing,A12,R,0.0074
S-R12-2b,seat,A12,R,0.0546
B-R12-2b,bearing,A12,R,0.0074
S-R12-3b,seat,A12,R,0.0544
B-R12-3b,bearing,A12,R,0.0074
S-R12-4b,seat,A12,R,0.0542
B-R12-4b,bearing,A12,R,0.0074
S-R12-5b,seat,A12,R,0.0540
B-R12-5b,bearing,A12,R,0.0074
PL-A12-R1,pile,A12,R,35.3429
PL-A12-R2,pile,A12,R,35.3429
