eid,class,part,deck,volume_m3
B-P01-L2,bearing,P01,L,0.0235
S-P01-L3,seat,P01,L,0.0960
B-P01-L3,bearing,P01,L,0.0235
S-P01-L4,seat,P01,L,0.0960
B-P01-L4,bearing,P01,L,0.0235
S-P01-L5,seat,P01,L,0.0960
B-P01-L5,bearing,P01,L,0.0235
C-P01-L1,column,P01,L,4.3908
PL-P01-L1,pile,P01,L,63.5544
C-P01-L2,column,P01,L,4.2370
PL-P01-L2,pile,P01,L,63.5544
TB-P01-L,tie,P01,L,5.1600
CAP-P01-R,cap,P01,R,46.8480
TS-R01-1b,temp_support,P01,R,0.0378
TS-R01-2b,temp_support,P01,R,0.0376
TS-R01-3b,temp_support,P01,R,0.0378
TS-R01-4b,temp_support,P01,R,0.0381
TS-R01-5b,temp_support,P01,R,0.0384
TS-R02-1a,temp_support,P01,R,0.0421
TS-R02-2a,temp_support,P01,R,0.0419
TS-R02-3a,temp_support,P01,R,0.0416
TS-R02-4a,temp_support,P01,R,0.0414
TS-R02-5a,temp_support,P01,R,0.0415
S-P01-R1,seat,P01,R,0.0960
B-P01-R1,bearing,P01,R,0.0235
S-P01-R2,seat,P01,R,0.0960
B-P01-R2,bearing,P01,R,0.0235
S-P01-R3,seat,P01,R,0.0960
B-P01-R3,bearing,P01,R,0.0235
S-P01-R4,seat,P01,R,0.0960
B-P01-R4,bearing,P01,R,0.0235
S-P01-R5,seat,P01,R,0.0960
B-P01-R5,bearing,P01,R,0.0235
C-P01-R1,column,P01,R,4.7617
PL-P01-R1,pile,P01,R,63.5544
C-P01-R2,column,P01,R,4.6079
PL-P01-R2,pile,P01,R,63.5544
TB-P01-R,tie,P01,R,5.1600
CAP-P02-L,cap,P02,L,46.8480
TS-L02-1b,temp_support,P02,L,0.0381
TS-L02-2b,temp_support,P02,L,0.0382
TS-L02-3b,temp_support,P02,L,0.0383
TS-L02-4b,temp_support,P02,L,0.0381
TS-L02-5b,temp_support,P02,L,0.0382
TS-L03-1a,temp_support,P02,L,0.0415
TS-L03-2a,temp_support,P02,L,0.0413
TS-L03-3a,temp_support,P02,L,0.0415
TS-L03-4a,temp_support,P02,L,0.0414
TS-L03-5a,temp_support,P02,L,0.0413
S-P02-L1,seat,P02,L,0.0960
B-P02-L1,bearing,P02,L,0.0235
S-P02-L2,seat,P02,L,0.0960
B-P02-L2,bearing,P02,L,0.0235
S-P02-L3,seat,P02,L,0.0960
B-P02-L3,bearing,P02,L,0.0235
S-P02-L4,seat,P02,L,0.0960
B-P02-L4,bearing,P02,L,0.0235
S-P02-L5,seat,P02,L,0.0961
B-P02-L5,bearing,P02,L,0.0235
C-P02-L1,column,P02,L,8.5152
PL-P02-L1,pile,P02,L,63.5544
C-P02-L2,column,P02,L,8.3615
PL-P02-L2,pile,P02,L,63.5544
TB-P02-L,tie,P02,L,5.1600
CAP-P02-R,cap,P02,R,46.8480
TS-R02-1b,temp_support,P02,R,0.0378
TS-R02-2b,temp_support,P02,R,0.0380
TS-R02-3b,temp_support,P02,R,0.0383
TS-R02-4b,temp_support,P02,R,0.0385
TS-R02-5b,temp_support,P02,R,0.0384
TS-R03-1a,temp_support,P02,R,0.0415
TS-R03-2a,temp_support,P02,R,0.0416
TS-R03-3a,temp_support,P02,R,0.0414
TS-R03-4a,temp_support,P02,R,0.0412
TS-R03-5a,temp_support,P02,R,0.0413
S-P02-R1,seat,P02,R,0.0960
B-P02-R1,bearing,P02,R,0.0235
S-P02-R2,seat,P02,R,0.0960
B-P02-R2,bearing,P02,R,0.0235
S-P02-R3,seat,P02,R,0.0961
B-P02-R3,bearing,P02,R,0.0235
S-P02-R4,seat,P02,R,0.0962
B-P02-R4,bearing,P02,R,0.0235
S-P02-R5,seat,P02,R,0.0962
B-P02-R5,bearing,P02,R,0.0235
C-P02-R1,column,P02,R,8.8860
PL-P02-R1,pile,P02,R,63.5544
C-P02-R2,column,P02,R,8.7323
PL-P02-R2,pile,P02,R,63.5544
TB-P02-R,tie,P02,R,5.1600
CAP-P03-L,cap,P03,L,46.8480
TS-L03-1b,temp_support,P03,L,0.0385
TS-L03-2b,temp_support,P03,L,0.0386
TS-L03-3b,temp_support,P03,L,0.0385
TS-L03-4b,temp_support,P03,L,0.0386
TS-L03-5b,temp_support,P03,L,0.0387
TS-L04-1a,temp_support,P03,L,0.0410
TS-L04-2a,temp_support,P03,L,0.0411
TS-L04-3a,temp_support,P03,L,0.0410
TS-L04-4a,temp_support,P03,L,0.0411
TS-L04-5a,temp_support,P03,L,0.0410
S-P03-L1,seat,P03,L,0.0960
B-P03-L1,bearing,P03,L,0.0235
S-P03-L2,seat,P03,L,0.0960
B-P03-L2,bearing,P03,L,0.0235
S-P03-L3,seat,P03,L,0.0961
B-P03-L3,bearing,P03,L,0.0235
S-P03-L4,seat,P03,L,0.0961
B-P03-L4,bearing,P03,L,0.0235
S-P03-L5,seat,P03,L,0.0962
B-P03-L5,bearing,P03,L,0.0235
C-P03-L1,column,P03,L,13.4065
PL-P03-L1,pile,P03,L,63.5544
C-P03-L2,column,P03,L,13.2527
PL-P03-L2,pile,P03,L,63.5544
TB-P03-L,tie,P03,L,5.1600
CAP-P03-R,cap,P03,R,46.8480
TS-R03-1b,temp_support,P03,R,0.0385
TS-R03-2b,temp_support,P03,R,0.0384
TS-R03-3b,temp_support,P03,R,0.0386
TS-R03-4b,temp_support,P03,R,0.0388
TS-R03-5b,temp_support,P03,R,0.0387
TS-R04-1a,temp_support,P03,R,0.0411
TS-R04-2a,temp_support,P03,R,0.0410
TS-R04-3a,temp_support,P03,R,0.0411
TS-R04-4a,temp_support,P03,R,0.0410
TS-R04-5a,temp_support,P03,R,0.0411
S-P03-R1,seat,P03,R,0.0960
B-P03-R1,bearing,P03,R,0.0235
S-P03-R2,seat,P03,R,0.0961
B-P03-R2,bearing,P03,R,0.0235
S-P03-R3,seat,P03,R,0.0962
B-P03-R3,bearing,P03,R,0.0235
S-P03-R4,seat,P03,R,0.0963
B-P03-R4,bearing,P03,R,0.0235
S-P03-R5,seat,P03,R,0.0965
B-P03-R5,bearing,P03,R,0.0235
C-P03-R1,column,P03,R,13.7772
PL-P03-R1,pile,P03,R,63.5544
C-P03-R2,column,P03,R,13.6234
PL-P03-R2,pile,P03,R,63.5544
TB-P03-R,tie,P03,R,5.1600
CAP-P04-L,cap,P04,L,46.8480
S-L04-1b,seat,P04,L,0.0540
B-L04-1b,bearing,P04,L,0.0074
S-L04-2b,seat,P04,L,0.0540
B-L04-2b,bearing,P04,L,0.0074
S-L04-3b,seat,P04,L,0.0540
B-L04-3b,bearing,P04,L,0.0074
S-L04-4b,seat,P04,L,0.0540
B-L04-4b,bearing,P04,L,0.0074
S-L04-5b,seat,P04,L,0.0540
B-L04-5b,bearing,P04,L,0.0074
S-L05-1a,seat,P04,L,0.0560
B-L05-1a,bearing,P04,L,0.0074
S-L05-2a,seat,P04,L,0.0560
B-L05-2a,bearing,P04,L,0.0074
S-L05-3a,seat,P04,L,0.0560
B-L05-3a,bearing,P04,L,0.0074
S-L05-4a,seat,P04,L,0.0560
B-L05-4a,bearing,P04,L,0.0074
S-L05-5a,seat,P04,L,0.0560
B-L05-5a,bearing,P04,L,0.0074
C-P04-L1,column,P04,L,18.3237
PL-P04-L1,pile,P04,L,63.5544
C-P04-L2,column,P04,L,18.1699
PL-P04-L2,pile,P04,L,63.5544
TB-P04-L,tie,P04,L,5.1600
CAP-P04-R,cap,P04,R,46.8480
S-R04-1b,seat,P04,R,0.0540
B-R04-1b,bearing,P04,R,0.0074
S-R04-2b,seat,P04,R,0.0540
B-R04-2b,bearing,P04,R,0.0074
S-R04-3b,seat,P04,R,0.0540
B-R04-3b,bearing,P04,R,0.0074
S-R04-4b,seat,P04,R,0.0540
B-R04-4b,bearing,P04,R,0.0074
S-R04-5b,seat,P04,R,0.0540
B-R04-5b,bearing,P04,R,0.0074
S-R05-1a,seat,P04,R,0.0559
B-R05-1a,bearing,P04,R,0.0074
S-R05-2a,seat,P04,R,0.0560
B-R05-2a,bearing,P04,R,0.0074
S-R05-3a,seat,P04,R,0.0560
B-R05-3a,bearing,P04,R,0.0074
S-R05-4a,seat,P04,R,0.0560
B-R05-4a,bearing,P04,R,0.0074
S-R05-5a,seat,P04,R,0.0560
B-R05-5a,bearing,P04,R,0.0074
C-P04-R1,column,P04,R,18.6949
PL-P04-R1,pile,P04,R,63.5544
C-P04-R2,column,P04,R,18.5411
PL-P04-R2,pile,P04,R,63.5544
TB-P04-R,tie,P04,R,5.1600
CAP-P05-L,cap,P05,L,46.8480
TS-L05-1b,temp_support,P05,L,0.0393
TS-L05-2b,temp_support,P05,L,0.0393
TS-L05-3b,temp_support,P05,L,0.0394
TS-L05-4b,temp_support,P05,L,0.0393
TS-L05-5b,temp_support,P05,L,0.0393
TS-L06-1a,temp_support,P05,L,0.0403
TS-L06-2a,temp_support,P05,L,0.0403
TS-L06-3a,temp_support,P05,L,0.0403
TS-L06-4a,temp_support,P05,L,0.0403
TS-L06-5a,temp_support,P05,L,0.0403
S-P05-L1,seat,P05,L,0.0960
B-P05-L1,bearing,P05,L,0.0235
S-P05-L2,seat,P05,L,0.0960
B-P05-L2,bearing,P05,L,0.0235
S-P05-L3,seat,P05,L,0.0960
B-P05-L3,bearing,P05,L,0.0235
S-P05-L4,seat,P05,L,0.0960
B-P05-L4,bearing,P05,L,0.0235
S-P05-L5,seat,P05,L,0.0960
B-P05-L5,bearing,P05,L,0.0235
C-P05-L1,column,P05,L,21.9871
PL-P05-L1,pile,P05,L,63.5544
C-P05-L2,column,P05,L,21.8334
PL-P05-L2,pile,P05,L,63.5544
TB-P05-L,tie,P05,L,5.1600
CAP-P05-R,cap,P05,R,46.8480
TS-R05-1b,temp_support,P05,R,0.0393
TS-R05-2b,temp_support,P05,R,0.0394
TS-R05-3b,temp_support,P05,R,0.0393
TS-R05-4b,temp_support,P05,R,0.0394
TS-R05-5b,temp_support,P05,R,0.0393
TS-R06-1a,temp_support,P05,R,0.0403
TS-R06-2a,temp_support,P05,R,0.0403
TS-R06-3a,temp_support,P05,R,0.0403
TS-R06-4a,temp_support,P05,R,0.0403
TS-R06-5a,temp_support,P05,R,0.0403
S-P05-R1,seat,P05,R,0.0960
B-P05-R1,bearing,P05,R,0.0235
S-P05-R2,seat,P05,R,0.0960
B-P05-R2,bearing,P05,R,0.0235
S-P05-R3,seat,P05,R,0.0960
B-P05-R3,bearing,P05,R,0.0235
S-P05-R4,seat,P05,R,0.0960
B-P05-R4,bearing,P05,R,0.0235
S-P05-R5,seat,P05,R,0.0960
B-P05-R5,bearing,P05,R,0.0235
C-P05-R1,column,P05,R,22.3582
PL-P05-R1,pile,P05,R,63.5544
C-P05-R2,column,P05,R,22.2045
PL-P05-R2,pile,P05,R,63.5544
TB-P05-R,tie,P05,R,5.1600
CAP-P06-L,cap,P06,L,46.8480
TS-L06-1b,temp_support,P06,L,0.0397
TS-L06-2b,temp_support,P06,L,0.0397
TS-L06-3b,temp_support,P06,L,0.0397
TS-L06-4b,temp_support,P06,L,0.0397
TS-L06-5b,temp_support,P06,L,0.0397
TS-L07-1a,temp_support,P06,L,0.0399
TS-L07-2a,temp_support,P06,L,0.0399
TS-L07-3a,temp_support,P06,L,0.0399
TS-L07-4a,temp_support,P06,L,0.0399
TS-L07-5a,temp_support,P06,L,0.0399
S-P06-L1,seat,P06,L,0.0960
B-P06-L1,bearing,P06,L,0.0235
S-P06-L2,seat,P06,L,0.0960
B-P06-L2,bearing,P06,L,0.0235
S-P06-L3,seat,P06,L,0.0960
B-P06-L3,bearing,P06,L,0.0235
S-P06-L4,seat,P06,L,0.0960
B-P06-L4,bearing,P06,L,0.0235
S-P06-L5,seat,P06,L,0.0960
B-P06-L5,bearing,P06,L,0.0235
C-P06-L1,column,P06,L,23.4044
PL-P06-L1,pile,P06,L,63.5544
C-P06-L2,column,P06,L,23.2507
PL-P06-L2,pile,P06,L,63.5544
TB-P06-L,tie,P06,L,5.1600
CAP-P06-R,cap,P06,R,46.8480
TS-R06-1b,temp_support,P06,R,0.0397
TS-R06-2b,temp_support,P06,R,0.0397
TS-R06-3b,temp_support,P06,R,0.0397
TS-R06-4b,temp_support,P06,R,0.0397
TS-R06-5b,temp_support,P06,R,0.0397
TS-R07-1a,temp_support,P06,R,0.0399
TS-R07-2a,temp_support,P06,R,0.0399
TS-R07-3a,temp_support,P06,R,0.0399
TS-R07-4a,temp_support,P06,R,0.0399
TS-R07-5a,temp_support,P06,R,0.0399
S-P06-R1,seat,P06,R,0.0961
B-P06-R1,bearing,P06,R,0.0235
S-P06-R2,seat,P06,R,0.0960
B-P06-R2,bearing,P06,R,0.0235
S-P06-R3,seat,P06,R,0.0960
B-P06-R3,bearing,P06,R,0.0235
S-P06-R4,seat,P06,R,0.0960
B-P06-R4,bearing,P06,R,0.0235
S-P06-R5,seat,P06,R,0.0960
B-P06-R5,bearing,P06,R,0.0235
C-P06-R1,column,P06,R,23.7755
PL-P06-R1,pile,P06,R,63.5544
C-P06-R2,column,P06,R,23.6218
PL-P06-R2,pile,P06,R,63.5544
TB-P06-R,tie,P06,R,5.1600
CAP-P07-L,cap,P07,L,46.8480
TS-L07-1b,temp_support,P07,L,0.0401
TS-L07-2b,temp_support,P07,L,0.0400
TS-L07-3b,temp_support,P07,L,0.0401
TS-L07-4b,temp_support,P07,L,0.0401
TS-L07-5b,temp_support,P07,L,0.0400
TS-L08-1a,temp_support,P07,L,0.0396
TS-L08-2a,temp_support,P07,L,0.0395
TS-L08-3a,temp_support,P07,L,0.0396
TS-L08-4a,temp_support,P07,L,0.0395
TS-L08-5a,temp_support,P07,L,0.0396
S-P07-L1,seat,P07,L,0.0960
B-P07-L1,bearing,P07,L,0.0235
S-P07-L2,seat,P07,L,0.0960
B-P07-L2,bearing,P07,L,0.0235
S-P07-L3,seat,P07,L,0.0960
B-P07-L3,bearing,P07,L,0.0235
S-P07-L4,seat,P07,L,0.0960
B-P07-L4,bearing,P07,L,0.0235
S-P07-L5,seat,P07,L,0.0960
B-P07-L5,bearing,P07,L,0.0235
C-P07-L1,column,P07,L,22.0932
PL-P07-L1,pile,P07,L,63.5544
C-P07-L2,column,P07,L,21.9394
PL-P07-L2,pile,P07,L,63.5544
TB-P07-L,tie,P07,L,5.1600
CAP-P07-R,cap,P07,R,46.8480
TS-R07-1b,temp_support,P07,R,0.0400
TS-R07-2b,temp_support,P07,R,0.0401
TS-R07-3b,temp_support,P07,R,0.0401
TS-R07-4b,temp_support,P07,R,0.0400
TS-R07-5b,temp_support,P07,R,0.0401
TS-R08-1a,temp_support,P07,R,0.0396
TS-R08-2a,temp_support,P07,R,0.0396
TS-R08-3a,temp_support,P07,R,0.0395
TS-R08-4a,temp_support,P07,R,0.0396
TS-R08-5a,temp_support,P07,R,0.0396
S-P07-R1,seat,P07,R,0.0960
B-P07-R1,bearing,P07,R,0.0235
S-P07-R2,seat,P07,R,0.0960
B-P07-R2,bearing,P07,R,0.0235
S-P07-R3,seat,P07,R,0.0960
B-P07-R3,bearing,P07,R,0.0235
S-P07-R4,seat,P07,R,0.0960
B-P07-R4,bearing,P07,R,0.0235
S-P07-R5,seat,P07,R,0.0960
B-P07-R5,bearing,P07,R,0.0235
C-P07-R1,column,P07,R,22.4643
PL-P07-R1,pile,P07,R,63.5544
C-P07-R2,column,P07,R,22.3105
PL-P07-R2,pile,P07,R,63.5544
TB-P07-R,tie,P07,R,5.1600
CAP-P08-L,cap,P08,L,46.8480
S-L08-1b,seat,P08,L,0.0554
B-L08-1b,bearing,P08,L,0.0074
S-L08-2b,seat,P08,L,0.0554
B-L08-2b,bearing,P08,L,0.0074
S-L08-3b,seat,P08,L,0.0554
B-L08-3b,bearing,P08,L,0.0074
S-L08-4b,seat,P08,L,0.0554
B-L08-4b,bearing,P08,L,0.0074
S-L08-5b,seat,P08,L,0.0554
B-L08-5b,bearing,P08,L,0.0074
S-L09-1a,seat,P08,L,0.0540
B-L09-1a,bearing,P08,L,0.0074
S-L09-2a,seat,P08,L,0.0540
