bearing,kind,support,deck,line,size,R_G1,R_conversion,R_G2,R_continuity,R_G,R_Q_max,R_Q_min,mu,Rck,R_ud_min,Ae_m2,sigma_MPa,utilisation,size_required_m
B-R12-4b,伸缩端,A12,R,4,φ450×77,401.2,0.5,216.6,0.0,618.3,436.2,-30.8,0.1928,1138.6,566.9,0.1521,7.49,0.749,0.391
B-R12-5b,伸缩端,A12,R,5,φ450×77,393.3,-0.4,216.5,0.0,609.4,514.1,-60.7,0.1966,1224.6,507.7,0.1521,8.05,0.805,0.405
TS-L01-1b,临时支座,P01,L,1,,395.6,,,,,,,,,,,,,
TS-L01-2b,临时支座,P01,L,2,,397.9,,,,,,,,,,,,,
TS-L01-3b,临时支座,P01,L,3,,397.8,,,,,,,,,,,,,
TS-L01-4b,临时支座,P01,L,4,,395.9,,,,,,,,,,,,,
TS-L01-5b,临时支座,P01,L,5,,387.8,,,,,,,,,,,,,
TS-L02-1a,临时支座,P01,L,1,,392.3,,,,,,,,,,,,,
TS-L02-1b,临时支座,P02,L,1,,392.3,,,,,,,,,,,,,
TS-L02-2a,临时支座,P01,L,2,,392.9,,,,,,,,,,,,,
TS-L02-2b,临时支座,P02,L,2,,392.9,,,,,,,,,,,,,
TS-L02-3a,临时支座,P01,L,3,,392.8,,,,,,,,,,,,,
TS-L02-3b,临时支座,P02,L,3,,392.8,,,,,,,,,,,,,
TS-L02-4a,临时支座,P01,L,4,,389.2,,,,,,,,,,,,,
TS-L02-4b,临时支座,P02,L,4,,389.3,,,,,,,,,,,,,
TS-L02-5a,临时支座,P01,L,5,,379.4,,,,,,,,,,,,,
TS-L02-5b,临时支座,P02,L,5,,379.4,,,,,,,,,,,,,
TS-L03-1a,临时支座,P02,L,1,,394.2,,,,,,,,,,,,,
TS-L03-1b,临时支座,P03,L,1,,394.2,,,,,,,,,,,,,
TS-L03-2a,临时支座,P02,L,2,,393.0,,,,,,,,,,,,,
TS-L03-2b,临时支座,P03,L,2,,393.0,,,,,,,,,,,,,
TS-L03-3a,临时支座,P02,L,3,,389.4,,,,,,,,,,,,,
TS-L03-3b,临时支座,P03,L,3,,389.4,,,,,,,,,,,,,
TS-L03-4a,临时支座,P02,L,4,,389.3,,,,,,,,,,,,,
TS-L03-4b,临时支座,P03,L,4,,389.3,,,,,,,,,,,,,
TS-L03-5a,临时支座,P02,L,5,,377.8,,,,,,,,,,,,,
TS-L03-5b,临时支座,P03,L,5,,377.8,,,,,,,,,,,,,
TS-L04-1a,临时支座,P03,L,1,,399.7,,,,,,,,,,,,,
TS-L04-2a,临时支座,P03,L,2,,396.3,,,,,,,,,,,,,
TS-L04-3a,临时支座,P03,L,3,,396.0,,,,,,,,,,,,,
TS-L04-4a,临时支座,P03,L,4,,393.8,,,,,,,,,,,,,
TS-L04-5a,临时支座,P03,L,5,,381.6,,,,,,,,,,,,,
TS-L05-1b,临时支座,P05,L,1,,399.7,,,,,,,,,,,,,
TS-L05-2b,临时支座,P05,L,2,,396.3,,,,,,,,,,,,,
TS-L05-3b,临时支座,P05,L,3,,396.0,,,,,,,,,,,,,
TS-L05-4b,临时支座,P05,L,4,,393.8,,,,,,,,,,,,,
TS-L05-5b,临时支座,P05,L,5,,381.6,,,,,,,,,,,,,
TS-L06-1a,临时支座,P05,L,1,,394.7,,,,,,,,,,,,,
TS-L06-1b,临时支座,P06,L,1,,394.7,,,,,,,,,,,,,
TS-L06-2a,临时支座,P05,L,2,,393.3,,,,,,,,,,,,,
TS-L06-2b,临时支座,P06,L,2,,393.3,,,,,,,,,,,,,
TS-L06-3a,临时支座,P05,L,3,,389.7,,,,,,,,,,,,,
TS-L06-3b,临时支座,P06,L,3,,389.7,,,,,,,,,,,,,
TS-L06-4a,临时支座,P05,L,4,,389.6,,,,,,,,,,,,,
TS-L06-4b,临时支座,P06,L,4,,389.6,,,,,,,,,,,,,
TS-L06-5a,临时支座,P05,L,5,,377.6,,,,,,,,,,,,,
TS-L06-5b,临时支座,P06,L,5,,377.6,,,,,,,,,,,,,
TS-L07-1a,临时支座,P06,L,1,,394.7,,,,,,,,,,,,,
TS-L07-1b,临时支座,P07,L,1,,394.7,,,,,,,,,,,,,
TS-L07-2a,临时支座,P06,L,2,,393.3,,,,,,,,,,,,,
TS-L07-2b,临时支座,P07,L,2,,393.3,,,,,,,,,,,,,
TS-L07-3a,临时支座,P06,L,3,,389.7,,,,,,,,,,,,,
TS-L07-3b,临时支座,P07,L,3,,389.7,,,,,,,,,,,,,
TS-L07-4a,临时支座,P06,L,4,,389.6,,,,,,,,,,,,,
TS-L07-4b,临时支座,P07,L,4,,389.6,,,,,,,,,,,,,
TS-L07-5a,临时支座,P06,L,5,,377.6,,,,,,,,,,,,,
TS-L07-5b,临时支座,P07,L,5,,377.6,,,,,,,,,,,,,
TS-L08-1a,临时支座,P07,L,1,,399.7,,,,,,,,,,,,,
TS-L08-2a,临时支座,P07,L,2,,396.3,,,,,,,,,,,,,
TS-L08-3a,临时支座,P07,L,3,,396.0,,,,,,,,,,,,,
TS-L08-4a,临时支座,P07,L,4,,393.8,,,,,,,,,,,,,
TS-L08-5a,临时支座,P07,L,5,,381.6,,,,,,,,,,,,,
TS-L09-1b,临时支座,P09,L,1,,399.6,,,,,,,,,,,,,
TS-L09-2b,临时支座,P09,L,2,,396.3,,,,,,,,,,,,,
TS-L09-3b,临时支座,P09,L,3,,396.0,,,,,,,,,,,,,
TS-L09-4b,临时支座,P09,L,4,,393.7,,,,,,,,,,,,,
