deck,unit,line,section,at,x_m,M_G1,M_conversion,M_G2,M_G,M_Q,mu,M_ud,M_fd
R,3,4,墩顶,P10,60.319,0.0,-281.2,-1207.3,-1488.5,-1161.9,0.2227,-4152.7,-2301.8
R,3,4,跨内正弯矩最大,第 11 跨,75.008,2700.1,-2.5,579.4,3277.0,1472.5,0.1928,7030.5,4307.8
R,3,4,墩顶,P11,90.434,0.0,-284.3,-1776.7,-2061.0,-1324.9,0.2227,-5215.3,-2988.4
R,3,4,跨内正弯矩最大,第 12 跨,106.754,2721.1,6.5,1183.2,3910.8,1746.6,0.1928,8370.6,5133.5
R,3,5,跨内正弯矩最大,第 9 跨,13.702,2675.0,-2.5,1199.2,3871.7,2433.5,0.1966,9595.3,5575.2
R,3,5,墩顶,P09,30.048,0.0,-303.7,-1798.6,-2102.3,-1856.8,0.2268,-6283.0,-3402.1
R,3,5,跨内正弯矩最大,第 10 跨,45.086,2606.8,7.2,564.3,3178.4,2044.5,0.1966,7963.1,4609.5
R,3,5,墩顶,P10,60.123,0.0,-327.6,-1210.0,-1537.6,-1624.3,0.2268,-5098.4,-2674.6
R,3,5,跨内正弯矩最大,第 11 跨,75.150,2619.6,10.1,568.2,3197.9,2043.9,0.1966,7987.7,4628.6
R,3,5,墩顶,P11,90.176,0.0,-292.4,-1776.3,-2068.7,-1847.5,0.2268,-6221.1,-3362.0
R,3,5,跨内正弯矩最大,第 12 跨,106.462,2712.4,-5.9,1180.6,3887.2,2428.8,0.1966,9606.9,5587.3
